type,name,shortname,start,end,desc,cost,deaths
drought,"West/Northeast/Southeast Drought†
 2016",,2016-01-01,2016-12-31,"California's 5-year drought persisted during 2016 while new areas of extreme drought developed in states across the Northeast and Southeast. The long-term impacts of the drought in California have damaged forests where 100+ million trees have perished and are a public safety hazard. The agricultural impacts were reduced in California as water prices and crop fallowing declined. However, agricultural impacts developed in Northeast and Southeast due to stressed water supplies.",$3.60,0
drought,"Western Drought†
 2015",,2015-01-01,2015-12-31,"Drought conditions were present across numerous western states (CA, NV, OR, WA, ID, MT, UT, AZ) with the most severe conditions continuing to plague California for all of 2015. The agriculture sector was again impacted by a lack of rainfall resulting in hundreds of thousands of acres of farmland remaining fallow and requiring excess groundwater pumping to irrigate existing agriculture interests. Wildfire conditions were further enhanced by the ongoing drought. California experienced extensive damage from both drought and wildfire impacts. Drought conditions did improve dramatically across Texas and Oklahoma, in the form of several major flood events.",$4.70,0
drought,"Western Drought†
 2014",,2014-01-01,2014-12-31,"Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years.",$4.20,0
drought,"Western/Plains Drought/Heatwave†
 Spring-Fall 2013",,2013-03-01,2013-11-30,"The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses across the central agriculture states.",$11.10,53
drought,"U.S. Drought/Heatwave†
 2012",,2012-01-01,2012-12-31,"The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heatwave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown.",$32.40,123
drought,"Southern Plains/Southwest Drought & Heat Wave†
 Spring-Summer 2011",,2011-03-01,2011-08-31,"Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season.",$13.30,95
drought,"Southwest/Great Plains Drought†
 2009",,2009-01-01,2009-12-31,"Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA.",$4.10,0
drought,"U.S. Drought†
 2008",,2008-01-01,2008-12-31,"Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI.",$8.10,0
drought,"Western/Eastern Drought/Heatwave†
 Summer-Fall 2007",,2007-06-01,2007-11-30,"Severe drought with periods of extreme heat over most of the southeast and portions of the Great Plains, Ohio Valley, and Great Lakes area, resulting in major reductions in crop yields, along with very low stream-flows and lake levels. Includes states of ND, SD, NE, KS, OK, TX, MN, WI, IA, MO, AR, LA, MS, AL, GA, NC, SC, FL, TN, VA, WV, KY, IN, IL, OH, MI, PA, NY.",$4.30,15
drought,"Midwest/Plains/Southeast Drought†
 Spring-Summer 2006",,2006-03-01,2006-08-31,"Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM.",$7.40,0
drought,"Midwest Drought†
 Spring-Summer 2005",,2005-03-01,2005-08-31,"Rather severe localized drought causes significant crop losses (especially for corn and soybeans) in the states of AR, IL, IN, MO, OH, and WI.",$1.90,0
drought,"Western/Central Drought/Heatwave
 Spring-Fall 2003",,2003-03-01,2003-11-30,"2003 drought across western and central portions of the U.S. with losses to agriculture. The states impacted include AZ, CO, IA, ID, IL, KS, MI, MN, MO, MT, ND, NE, NM, OR, SD, WA and WI.",$6.70,35
drought,"U.S. Drought†
 Spring-Fall 2002",,2002-03-01,2002-11-30,"Moderate to extreme drought over large portions of 30 states, including the western states, the Great Plains, and much of the eastern U.S.",$12.40,0
drought,"Western/Central/Southeast Drought/Heatwave†
 Spring-Fall 2000",,2000-03-01,2000-11-30,"Western/Central/Southeast Drought/Heatwave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",$7.20,140
drought,"Eastern Drought/Heatwave†
 Summer 1999",,1999-06-01,1999-08-31,"Very dry summer and high temperatures, mainly in eastern U.S., with extensive agricultural losses. The states impacted include AL, AR, FL, GA, KY, LA, MD, MS, NC, NJ, OH, SC, TN, VA, WV and PA.",$3.70,502
drought,"Southern Drought/Heat Wave†
 Summer 1998",,1998-06-01,1998-08-31,"Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",$5.40,200
drought,"Southern Plains Drought
 Spring-Summer 1996",,1996-03-01,1996-08-31,Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,$2.80,0
drought,"Southeast Drought/Heat Wave†
 Summer 1993",,1993-06-01,1993-08-31,"Drought and heat wave across Southeastern U.S. The states most impacted include AL, FL, GA, MD, NC, SC, TN, and VA.",$2.20,16
drought,"U.S. Drought
 Spring-Summer 1991",,1991-03-01,1991-08-31,"Drought conditions over parts of the West, Central and eastern U.S. most affected the states IL, IN, KS, MN, OH, OR, PA, SD, and WA.",$5.50,0
drought,"Northern Plains Drought
 Summer-Fall 1989",,1989-06-01,1989-11-30,"Severe summer drought over much of the northern plains with significant losses to agriculture. The states impacted include CO, IA, IL, KS, MO, ND, NE, NV, SD, TX and UT.",$6.10,0
drought,"U.S. Drought/Heatwave
 Summer 1988",,1988-06-01,1988-08-31,"1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",$42.40,454
drought,"Southeast Drought/Heatwave
 Summer 1986",,1986-06-01,1986-08-31,"Severe summer drought in parts of the southeastern U.S. with severe losses to agriculture. The states impacted include AL, AR, GA, LA, MS, NC, SC, TN and VA.",$4.00,100
drought,"Southeast Drought
 Summer 1983",,1983-06-01,1983-08-31,"1983 flash drought in the southeastern U.S. with losses to agriculture, most notably corn and soybeans. The states impacted include AL, AR, GA, KY, LA, MO, MS, NC, SC, TN and VA.",$7.40,0
drought,"Central/Eastern Drought/Heatwave
 Summer-Fall 1980",,1980-06-01,1980-11-30,"Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",$31.60,1260
flood,"Missouri and Arkansas Flooding and Central Severe Weather†
 May 2017",,2017-04-25,2017-05-07,"A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states.",$1.70,20
flood,"California Flooding†
 February 2017",,2017-02-08,2017-02-22,"Heavy, persistent rainfall across northern and central California created substantial property and infrastructure damage from flooding, landslides and erosion. Notable impacts include severe damage to the Oroville Dam spillway, which caused a multi-day evacuation of 188,000 residents downstream. Excessive rainfall also caused flood damage in the city of San Jose, as Coyote Creek overflowed its banks and inundated neighborhoods forcing 14,000 residents to evacuate.",$1.50,5
flood,"Louisiana Flooding†
 August 2016",,2016-08-12,2016-08-15,"A historic flood devastated a large area of southern Louisiana resulting from 20 to 30 inches of rainfall over several days. Watson, Louisiana received an astounding 31.39 inches of rain from the storm. Two-day rainfall totals in the hardest hit areas have a 0.2% chance of occurring in any given year: a 1 in 500 year event. More than 30,000 people were rescued from the floodwaters that damaged or destroyed over 50,000 homes, 100,000 vehicles and 20,000 businesses. This is the most damaging U.S. flood event since Superstorm Sandy impacted the Northeast in 2012.",$10.30,13
flood,"West Virginia Flooding and Ohio Valley Tornadoes†
 June 2016",,2016-06-22,2016-06-24,"Torrential rainfall caused destructive flooding through many West Virginia towns, damaging thousands of homes and businesses and causing considerable loss of life. Over 1,500 roads and bridges were damaged or destroyed making the impact on infrastructure comparable to the historic 2013 Colorado flood. The storm system also produced numerous tornadoes causing damage across several Ohio Valley states.",$1.00,23
flood,"Houston Flooding†
 April 2016",,2016-04-17,2016-04-18,"A period of extreme rainfall up to 17 inches created widespread urban flooding in Houston and surrounding suburbs. Thousands of homes and businesses were damaged and more than 1,800 high water rescues were conducted. This represents the most widespread flooding event to affect Houston since Tropical Storm Allison in 2001.",$2.80,8
flood,"Texas and Louisiana Flooding†
 March 2016",,2016-03-08,2016-03-12,"Multiple days of heavy rainfall averaging 15 to 20 inches led to widespread flooding along the Sabine River basin on the Texas and Louisiana border. This prompted numerous evacuations, high-water rescues and destruction, as more than 1,000 homes and businesses were damaged or destroyed.",$2.40,5
flood,"South Carolina and East Coast Flooding†
 October 2015",,2015-10-01,2015-10-05,"Historic levels of flooding impacted South Carolina causing widespread damage to many homes, businesses, public buildings and infrastructure. This interrupted commerce and closed major transportation corridors (such as I-95) for weeks as rivers slowly receded. Locally extreme rainfall totals exceeding 20-inches were common resulting from the convergence of a powerful low pressure system / frontal boundary and copious moisture from Hurricane Joaquin in the Atlantic.",$2.10,25
flood,"Texas and Oklahoma Flooding and Severe Weather†
 May 2015",,2015-05-23,2015-05-26,"A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded 1.0 (1.1) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms.",$2.60,31
flood,"Michigan and Northeast Flooding†
 August 2014",,2014-08-11,2014-08-13,"Heavy rainfall in excess of 5 inches caused significant flooding in cities across Michigan damaging thousands of cars, business, homes and other infrastructure. Flooding also occurred across Maryland and New York's Long Island, as the slow-moving storm system delivered 24-hour rainfall exceeding 6 and 12 inches, respectively, creating more flood damage. Islip, NY received 13.57 inches of rain over a 24-hour period on Aug 12-13 setting a new 24-hour precipitation record for New York.",$1.10,2
flood,"Colorado Flooding†
 September 10-16 2013",,2013-09-10,2013-09-16,"A stalled frontal boundary over Colorado led to record rainfall, as some areas received > 15 inches over several days. This resulted in historic flooding across numerous cities and towns. Destruction of residences, businesses and transportation infrastructure was widespread.",$1.60,9
flood,"Illinois Flooding and Severe Weather†
 April 16-19 2013",,2013-04-16,2013-04-19,A slow-moving storm system created rainfall totals of 5 to 10 inches across northern and central Illinois including the Chicago metro. This resulted in damage to many homes and businesses. There was also severe weather damage from wind and hail across Indiana and Missouri.,$1.10,4
flood,"Missouri River flooding†
 May-June 2011",,2011-05-01,2011-06-30,"Melting of an above-average snow pack across the Northern Rocky Mountains combined with above-average precipitation caused the Missouri and Souris Rivers to swell beyond their banks across the Upper Midwest (MT, ND, SD, NE, IA, KS, MO). An estimated 11,000 people were forced to evacuate Minot, North Dakota due to the record high water level of the Souris River, where 4,000 homes were flooded. Numerous levees were breached along the Missouri River, flooding thousands of acres of farmland.",$2.20,5
flood,"Mississippi River flooding†
 April-May 2011",,2011-04-01,2011-05-31,"Persistent rainfall (nearly 300 percent normal precipitation amounts in the Ohio Valley) combined with melting snowpack caused historical flooding along the Mississippi River and its tributaries. Examples of economic damage include: 500 (555.0) million to agriculture in Arkansas; 320 (355.2) million in damage to Memphis, Tennessee; 800 (888.0) million to agriculture in Mississippi; 317 (351.9) million to agriculture and property in Missouri's Birds Point-New Madrid Spillway; 80 (88.8) million for the first 30 days of flood fighting efforts in Louisiana.",$3.30,7
flood,"East/South Flooding and Severe Weather†
 May 2010",,2010-04-30,2010-05-02,"Flooding, hail, tornadoes, and severe thunderstorms occurred across many Southern states (TN, AR, AL, KY, MS, GA) on April 30-May 2. Flooding in the Nashville, TN area alone contributed > 1.0 (1.1) billion in damages. Western and Middle Tennessee were hardest hit with local rainfall amounts of 18-20 inches to the south and west of Greater Nashville.",$2.60,32
flood,"Northeast Flooding†
 March 2010",,2010-03-01,2010-03-31,"Heavy rainfall over portions of the Northeast in late March caused extensive flooding across several states (RI, CT, MA, NJ, NY, PA). The event caused the worst flooding in Rhode Island's history.",$2.10,11
flood,"Midwest Flooding†
 Summer 2008",,2008-04-01,2008-06-30,"Heavy rain and flooding caused significant agricultural loss and property damage in IA, IL, IN, MO, MN, NE, and WI with IA being hardest hit with widespread rainfall totals ranging from 4 to over 16 inches.",$11.60,24
flood,"Northeast Flooding†
 June 2006",,2006-06-25,2006-06-28,"Severe flooding over portions of the northeast due to several weeks of heavy rainfall, affecting the states of NY, PA, DE, MD, NJ, and VA.",$1.90,20
flood,"Texas Flooding
 October 1998",,1998-10-16,1998-10-24,"Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",$1.4*,31
flood,"Northern Plains Flooding†
 Spring 1997",,1997-02-03,1997-05-24,"Severe flooding in North Dakota, South Dakota and Minnesota due to heavy spring snow melt. This flooding caused widespread damage to agriculture, infrastructure, homes and businesses.",$5.70,11
flood,"West Coast Flooding†
 December 1996-January 1997",,1997-01-01,1997-01-11,"Torrential rains (10-40 inches in 2 weeks) and snowmelt produce severe flooding over portions of CA, WA, OR, ID, NV, and MT.",$4.60,36
flood,"Pacific Northwest Severe Flooding†
 February 1996",,1996-02-07,1996-02-12,"Very heavy, persistent rains (10-30 inches) and melting snow over OR, WA, ID, and western MT.",$1.60,9
flood,"California Flooding†
 January-March 1995",,1995-01-01,1995-03-31,Frequent winter storms cause 20-70 inch rainfall and periodic flooding across much of California,$4.10,27
flood,"Texas Flooding
 October 1994",,1994-10-16,1994-10-25,Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,$1.70,19
flood,"Midwest Flooding†
 Summer 1993",,1993-06-27,1993-08-15,"Severe, widespread flooding in central U.S. due to persistent heavy rains and thunderstorms. There was extensive damage to agriculture, infrastructure, homes and businesses in many areas across several states. Many river stations also established new records for historical flood heights. This is the most costly non-tropical, inland flood event to affect the United States on record.",$36.10,48
flood,"Southern Flooding
 May 1990",,1990-05-11,1990-05-19,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",$1.90,13
flood,"Western Storms & Flooding
 December 1982-March 1983",,1982-12-13,1983-03-31,"Severe storms and flooding, especially in the states of WA, OR, CA, AZ, NV, ID, UT, and MT",$3.70,50
flood,"Gulf States Storms and Flooding
 December 1982-January 1983",,1982-12-01,1983-01-15,"Severe storms and flooding, especially in the states of TX, AR, LA, MS, AL, GA, and FL",$3.80,45
flood,"Southern Severe Storms and Flooding
 April 1980",,1980-04-10,1980-04-17,"Severe storms and flooding affect several states (AR, LA, MS) across the South.",$2.2*,7
freeze,"Southeast Freeze†
 March 2017",,2017-03-14,2017-03-16,"Severe freeze heavily damaged fruit crops across several southeastern states (SC, GA, NC, TN, AL, MS, FL, KY, VA). Mid-March freezes are not climatologically unusual in the Southeast, however many crops were blooming 3+ weeks early due to unusually warm temperatures during the preceding weeks. Damage was most severe in Georgia and South Carolina. Crops most impacted include peaches, blueberries, strawberries and apples, among others.",$1.00,0
freeze,"Spring Freeze†
 April 2007",,2007-04-04,2007-04-10,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems.",$2.50,0
freeze,"California Freeze†
 January 2007",,2007-01-11,2007-01-17,"Widespread agricultural freeze -- for nearly two weeks in January, overnight temperatures over a good portion of California dipped into the 20s, destroying numerous agricultural crops; with citrus, berry, and vegetable crops most affected.",$1.70,1
freeze,"California Freeze
 December 1998",,1998-12-20,1998-12-28,A severe freeze damaged fruit and vegetable crops in the Central and Southern San Joaquin Valley. Extended intervals of sub 27° F temperatures occurred over an 8-day period.,$3.80,0
freeze,"California Freeze
 December 1990",,1990-12-18,1990-12-25,"Severe freeze in the Central and Southern San Joaquin Valley caused the loss of citrus, avocado trees, and other crops in many areas. Several days of subfreezing temperatures occurred, with some valley locations in the teens.",$6.50,0
freeze,"Florida Freeze
 December 1989",,1989-12-23,1989-12-25,Severe freeze damages citrus crops across central/northern Florida.,$4.00,10
freeze,"Florida Freeze
 January 1985",,1985-01-20,1985-01-22,Severe freeze over central/northern Florida damages citrus crops.,$2.80,0
freeze,"Freeze, Cold Wave
 December 1983",,1983-12-15,1983-12-25,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,$5.00,151
storm,"Minnesota Hail Storm and Upper Midwest Severe Weather†
 June 2017",,2017-06-09,2017-06-16,"Severe hail and high wind damage impacting numerous states including MN, WI, WY, TX, IA, IL, KS, MO, NE, NY, PA, VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.50,0
storm,"Colorado Hail Storm and Central Severe Weather†
 May 2017",,2017-05-08,2017-05-11,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding 1.5 billion.",$2.20,0
