type,name,shortname,start,end,desc,cost,deaths
storm,"Severe Storms
 May 1989",,1989-05-01,1989-05-06,"Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",$1.1*,21
storm,"Western Severe Storms and Flooding
 February 1986",,1986-02-14,1986-02-16,"Severe storms and flooding affect the states CA, CO, NV, OR, WY across the West.",$1.2*,13
storm,"Severe Storms and Hail
 June 1984",,1984-06-13,1984-06-17,"Severe storms and hail impact Colorado, South Dakota and Nebraska.",$1.1*,1
storm,"Tornadoes, Severe Storms, Floods
 Spring 1984",,1984-03-27,1984-04-07,"States in the Southeast and Northeast regions are impacted by tornadoes, severe storms, and flooding. The states impacted include GA, FL, SC, NC, VA, MD, DE, NJ, NY, PA, CT, MA and RI.",$1.4*,80
storm,"Severe storms
 June 1982",,1982-05-31,1982-06-10,"Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",$1.2*,30
storm,"Midwest/ Plains/ Southeast Tornadoes
 April 1982",,1982-04-02,1982-04-04,"Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",$1.3*,33
storm,"Severe Storms, Flash Floods, Hail, Tornadoes
 May 1981",,1981-05-05,1981-05-10,"Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",$1.1*,20
cyclone,"Hurricane Matthew†
 October 2016",Matthew,2016-10-08,2016-10-12,"Hurricane Matthew paralleled the Southeast coast from Florida to North Carolina causing widespread damage from wind, storm surge and inland flooding. The most costly impacts were due to historic levels of river flooding in eastern North Carolina where 100,000 homes, businesses and other structures were damaged. This inland flooding was comparable to Hurricane Floyd (1999) that also impacted eastern North Carolina. Matthew narrowly missed landall on Florida's east coast as a powerful category 4 storm.",$10.30,49
cyclone,"Hurricane Sandy†
 October 2012",Sandy,2012-10-30,2012-10-31,"Extensive damage across several northeastern states (MD, DE, NJ, NY, CT, MA, RI) due to high wind and coastal storm surge, particularly NY and NJ. Damage from wind, rain and heavy snow also extended more broadly to other states (NC, VA, WV, OH, PA, NH), as Sandy merged with a developing Nor'easter. Sandy's impact on major population centers caused widespread interruption to critical water / electrical services and also caused 159 deaths (72 direct, 87 indirect). Sandy also caused the New York Stock Exchange to close for two consecutive business days, which last happened in 1888 due to a major winter storm.",$70.20,159
cyclone,"Hurricane Isaac†
 August 2012",Isaac,2012-08-26,2012-08-31,"Category 1 hurricane made landfall over Louisiana. Isaac's slow motion and large size led to a large storm surge and flooding rains. This created damage across several southeastern states (LA, MS, AL, FL) including 9 deaths (5 direct, 4 indirect).",$3.00,9
cyclone,"Tropical Storm Lee†
 September 2011",Lee,2011-09-01,2011-09-05,"Wind and flood damage across the southeast (LA, MS, AL, GA, TN) but considerably more damage from record flooding across the northeast (PA, NY, NJ, CT, VA, MD). Pennsylvania and New York were most affected.",$2.80,21
cyclone,"Hurricane Irene†
 August 2011",Irene,2011-08-26,2011-08-28,"Category 1 hurricane made landfall over coastal NC and moved northward along the Mid-Atlantic Coast (NC, VA, MD, NJ, NY, CT, RI, MA, VT) causing torrential rainfall and flooding across the Northeast. Wind damage in coastal NC, VA, and MD was moderate with considerable damage resulting from falling trees and power lines, while flooding caused extensive flood damage across NJ, NY, and VT. Over seven million homes and businesses lost power during the storm. Numerous tornadoes were also reported in several states further adding to the damage.",$15.00,45
cyclone,"Hurricane Ike†
 September 2008",Ike,2008-09-12,2008-09-14,"Category 2 hurricane makes landfall in Texas, as the largest (in size) Atlantic hurricane on record, causing considerable storm surge in coastal TX and significant wind and flooding damage in TX, LA, AR, TN, IL, IN, KY, MO, OH, MI and PA. Severe gasoline shortages occurred in the southeast U.S. due to damaged oil platforms, storage tanks, pipelines and off-line refineries.",$34.80,112
cyclone,"Hurricane Gustav†
 September 2008",Gustav,2008-08-31,2008-09-03,"Category 2 hurricane makes landfall in Louisiana causing significant wind, storm surge, and flooding damage in AL, AR, LA, and MS.",$7.00,53
cyclone,"Hurricane Dolly†
 July 2008",Dolly,2008-07-23,2008-07-25,Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.,$1.50,3
cyclone,"Hurricane Wilma†
 October 2005",Wilma,2005-10-24,2005-10-24,"Category 3 hurricane hits SW Florida resulting in strong damaging winds and major flooding across southeastern Florida. Prior to landfall, Wilma as a Category 5 recorded the lowest pressure (882 mb) ever recorded in the Atlantic basin.",$24.30,35
cyclone,"Hurricane Rita†
 September 2005",Rita,2005-09-20,2005-09-24,"Category 3 hurricane hits Texas-Louisiana border coastal region, creating significant storm surge and wind damage along the coast, and some inland flooding in the FL panhandle, AL, MS, LA, AR, and TX. Prior to landfall, Rita reached the third lowest pressure (897 mb) ever recorded in the Atlantic basin.",$23.70,119
cyclone,"Hurricane Katrina†
 August 2005",Katrina,2005-08-25,2005-08-30,"Category 3 hurricane initially impacts the U.S. as a Category 1 near Miami, FL, then as a strong Category 3 along the eastern LA-western MS coastlines, resulting in severe storm surge damage (maximum surge probably exceeded 30 feet) along the LA-MS-AL coasts, wind damage, and the failure of parts of the levee system in New Orleans. Inland effects included high winds and some flooding in the states of AL, MS, FL, TN, KY, IN, OH, and GA.",$160.00,1833
cyclone,"Hurricane Dennis†
 July 2005",Dennis,2005-07-09,2005-07-11,"Category 3 hurricane makes landfall in western Florida panhandle resulting in storm surge and wind damage along the FL and AL coasts, along with scattered wind and flood damage in GA and MS.",$3.20,15
cyclone,"Hurricane Jeanne†
 September 2004",Jeanne,2004-09-15,2004-09-29,"Category 3 hurricane makes landfall in east-central Florida, causing considerable wind, storm surge, and flooding damage in FL, with some flood damage also in the states of GA, SC, NC, VA, MD, DE, NJ, PA, and NY. Puerto Rico also affected.",$9.90,28
cyclone,"Hurricane Ivan†
 September 2004",Ivan,2004-09-12,2004-09-21,"Category 3 hurricane makes landfall on Gulf coast of Alabama, with significant wind, storm surge, and flooding damage in coastal AL and FL panhandle, along with wind/flood damage in the states of GA, MS, LA, SC, NC, VA, WV, MD, TN, KY, OH, DE, NJ, PA, and NY.",$27.10,57
cyclone,"Hurricane Frances†
 September 2004",Frances,2004-09-03,2004-09-09,"Category 2 hurricane makes landfall in east-central Florida, causing significant wind, storm surge, and flooding damage in FL, along with considerable flood damage in the states of GA, SC, NC, and NY due to 5-15 inch rains.",$12.90,48
cyclone,"Hurricane Charley†
 August 2004",Charley,2004-08-13,2004-08-14,"Category 4 hurricane makes landfall in southwest Florida, resulting in major wind and some storm surge damage in FL, along with some damage in the states of SC and NC.",$21.10,35
cyclone,"Hurricane Isabel†
 September 2003",Isabel,2003-09-18,2003-09-19,"Category 2 hurricane makes landfall in eastern North Carolina, causing considerable storm surge damage along the coasts of NC, VA, and MD, with wind damage and some flooding due to 4-12 inch rains in NC, VA, MD, DE, WV, NJ, NY, and PA.",$7.40,55
cyclone,"Hurricane Lili†
 October 2002",Lili,2002-08-01,2002-08-05,"Category 1 hurricane makes landfall in Louisiana after causing damage across Saint Lucia, Jamaica, Haiti and Cuba.",$1.50,2
cyclone,"Tropical Storm Allison†
 June 2001",Allison,2001-06-05,2001-06-17,"The persistent remnants of Tropical Storm Allison produce rainfall amounts of 30-40 inches in portions of coastal Texas and Louisiana, causing severe flooding especially in the Houston area, then moves slowly northeastward; fatalities and significant damage reported in TX, LA, MS, FL, VA, and PA",$11.90,43
cyclone,"Hurricane Floyd†
 September 1999",Floyd,1999-09-14,1999-09-16,"Large, category 2 hurricane makes landfall in eastern NC, causing 10-20 inch rains in 2 days, with severe flooding in NC and some flooding in SC, VA, MD, PA, NY, NJ, DE, RI, CT, MA, NH, and VT.",$9.70,77
cyclone,"Hurricane Georges†
 September 1998",Georges,1998-09-20,1998-09-29,"Category 2 hurricane strikes Puerto Rico, Virgin Islands, Florida Keys, and Gulf coasts of Louisiana, Mississippi, Alabama, and Florida panhandle, 15-30 inch 2-day rain totals in parts of Alabama and Florida",$9.10,16
cyclone,"Hurricane Bonnie†
 August 1998",Bonnie,1998-08-27,1998-08-29,"Category 3 hurricane strikes eastern North Carolina and Virginia, extensive agricultural damage due to winds and flooding, with 10-inch rains in 2 days in some locations.",$1.50,3
cyclone,"Hurricane Fran†
 September 1996",Fran,1996-09-05,1996-09-08,"Category 3 hurricane strikes North Carolina and Virginia, over 10-inch 24-hour rains in some locations and extensive agricultural and other losses.",$8.00,37
cyclone,"Hurricane Opal†
 October 1995",Opal,1995-10-04,1995-10-06,"Category 3 hurricane strikes Florida panhandle, Alabama, western Georgia, eastern Tennessee, and the western Carolinas, causing storm surge, wind, and flooding damage.",$7.60,27
cyclone,"Hurricane Marilyn
 September 1995",Marilyn,1995-09-15,1995-09-17,Category 2 hurricane impacts the U.S. Virgin Islands and Puerto Rico with maximum sustained winds of 110 mph.,$3.40,13
cyclone,"Tropical Storm Alberto†
 July 1994",Alberto,1994-07-07,1994-07-10,"Remnants of slow-moving Alberto bring torrential 10-25 inch rains in 3 days, widespread flooding and agricultural damage in parts of Georgia, Alabama, and panhandle of Florida.",$1.70,32
cyclone,"Hurricane Iniki
 September 1992",Iniki,1992-09-11,1992-09-12,Category 4 hurricane causes severe damage to the Hawaiian island of Kauai. Hurricane Iniki is the costliest and deadliest hurricane to affect Hawaii since 1900.,$5.50,7
cyclone,"Hurricane Andrew†
 August 1992",Andrew,1992-08-23,1992-08-27,"Category 5 hurricane hits Florida and later impacts Louisiana as a category 3. High winds damage or destroy over 125,000 homes and leave at least 160,000 people homeless in Dade County, Florida alone. Initially rated as a category 4, Andrew was later upgraded to a category 5 upon further analysis. Andrew joins Hurricane Camille (1969) and the Labor Day Hurricane (1935), as the only land falling category 5 hurricanes on record to affect the U.S. mainland. Adjusted to present-day dollars, Andrew is the 3rd most costly hurricane to impact the U.S. since 1980, after Katrina (2005) and Sandy (2012).",$47.80,61
cyclone,"Hurricane Bob
 August 1991",Bob,1991-08-18,1991-08-20,Category 2 hurricane brushes the Outer Banks of North Carolina before making landfall in Rhode Island. Its impacts were felt from North Carolina to Long Island and into New England.,$2.70,18
cyclone,"Hurricane Hugo
 September 1989",Hugo,1989-09-21,1989-09-22,Category 4 hurricane devastates South and North Carolina with ~20 foot storm surge and severe wind damage after hitting Puerto Rico and the U.S. Virgin Islands,$18.20,86
cyclone,"Hurricane Juan
 October 1985",Juan,1985-10-27,1985-10-31,"Category 1 hurricane makes landfall near Morgan City, Louisiana. Hurricane Juan's slow movement causes severe flooding in Louisiana, Mississippi, Alabama and Florida. Southern Louisiana was most severely affected due to widespread rainfall of 10-15 inches that caused substantial flooding.",$3.50,63
cyclone,"Hurricane Gloria
 September 1985",Gloria,1985-09-26,1985-09-28,"Category 2 hurricane makes several landfalls along the eastern seaboard, affecting states from North Carolina to Maine.",$2.0*,11
cyclone,"Hurricane Elena
 September 1985",Elena,1985-08-30,1985-09-03,"Category 3 hurricane approaches the Florida Panhandle prior to landfall near Biloxi, Mississippi. Considerable wind and rain impacts were felt from Florida to Louisiana.",$3.00,4
cyclone,"Hurricane Alicia
 August 1983",Alicia,1983-08-17,1983-08-20,"Category 3 hurricane makes landfall near Galveston, Texas with maximum sustained winds 115 mph. Hurricane Alicia was the first hurricane to hit the United States mainland since Hurricane Allen in August 1980.",$7.50,21
cyclone,"Hurricane Allen
 August 1980",Allen,1980-08-07,1980-08-11,"Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",$1.9*,13
wildfire,"Western/Southeast Wildfires†
 Summer-Fall 2016",,2016-06-01,2016-12-31,"Western and Southern states experienced an active wildfire season with over 5.0 million acres burned nationally. Most notable was the firestorm that impacted Gatlinburg, Tennessee with hurricane-force wind gusts in extremely dry conditions creating volatile wildfire behavior. These wildfires destroyed nearly 2,500 structures and caused 14 fatalities. The drought conditions in many areas of the Southeast and California worsened the wildfire potential.",$2.50,21
wildfire,"Western and Alaskan Wildfires†
 Summer-Fall 2015",,2015-06-01,2015-11-30,"Wildfires burned over 10.1 million acres across the U.S. in 2015, surpassing 2006 for the highest annual total of U.S. acreage burned since record-keeping began in 1960. The most costly wildfires occurred in California where over 2,500 structures were destroyed due to the Valley and Butte wildfires with the insured losses alone exceeding 1.0 (1.1) billion. The most extensive wildfires occurred in Alaska where over 5 million acres burned within the state. There was extensive burnt acreage across other western states, most notably (OR, WA, ID, MT, ND, CO, WY, TX).",$3.20,12
wildfire,"Western Wildfires†
 Summer-Fall 2012",,2012-06-01,2012-11-30,"Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed.",$1.90,8
wildfire,"Texas, New Mexico, Arizona Wildfires†
 Summer-Fall 2011",,2011-06-01,2011-11-30,"Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season.",$2.00,5
wildfire,"Western Wildfires†
 Summer-Fall 2009",,2009-06-01,2009-11-30,"Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National acreage burned exceeding 5.9 million. Over 200 homes and structures destroyed in the California ""Station"" fire alone.",$1.20,10
wildfire,"U.S. Wildfires†
 Fall 2008",,2008-09-01,2008-11-30,"Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone.",$1.40,16
wildfire,"Western Wildfires†
 Summer 2007",,2007-06-01,2007-08-31,"Continued drought conditions and high winds over much of the western U.S. (AK, AZ, CA, ID, UT, MT, NV, OR, WA) resulting in numerous wildfires; with national acreage burned exceeding 8.9 million acres (mainly in the west) and over 3,000 homes and structures destroyed in southern California alone.",$3.30,12
wildfire,"Numerous Wildfires†
 2006",,2006-01-01,2006-12-31,"Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY",$1.80,28
wildfire,"California Wildfires†
 Fall 2003",,2003-09-01,2003-11-30,"Dry weather, high winds, and resulting wildfires in Southern California burned over 3,700 homes. Nearly 4.0 million acres burned across numerous western states including Alaska.",$5.30,22
wildfire,"Western Fire Season†
 Fall 2002",,2002-09-01,2002-11-30,"Major wildfires over 11 western states from the Rockies to the west coast due to drought and periodic high winds, with over 7.1 million acres burned.",$1.80,21
wildfire,"Western Fire Season†
 Spring-Summer 2000",,2000-03-01,2000-08-31,"Severe wildfire season in the western states due to drought and frequent winds, with nearly 7 million acres burned.",$1.60,0
wildfire,"Western Fire Season
 Summer-Fall 1994",,1994-06-01,1994-11-30,"Severe wildfire season in the western states due to dry weather conditions. The states most impacted include CA, AZ, OR, WA, CO, UT, NV, NM and TX.",$1.2*,0
wildfire,"California Wildfires
 Fall 1993",,1993-09-01,1993-11-30,"Dry weather, high winds and wildfires in Southern California",$2.40,4
wildfire,"Oakland Firestorm
 October 1991",,1991-10-01,1991-10-31,"Oakland, California firestorm due to low humidity and high winds burned over 3,000 homes. This is the costliest urban wildfire to affect the United States since 1980.",$6.00,25
winterstorm,"Central and Eastern Winter storm, Cold Wave†
 February 2015",,2015-02-14,2015-02-20,"A large winter storm and associated cold wave impacted many central, eastern and northeastern states (CT, DE, GA, IL, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA). The city of Boston was particularly impacted as feet of snow continued to accumulate causing load-stress on buildings and clogging transportation corridors. Total, direct losses in Massachusetts alone exceed 1.0 (1.1) billion for this event, with considerable damage in many other states.",$3.10,30
winterstorm,"Midwest/Southeast/Northeast Winter Storm†
 January 2014",,2014-01-05,2014-01-08,"Winter storm caused widespread damage across numerous Midwest, Southeast and Northeastern states (AL, GA, IL, IN, KY, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA).",$2.30,16
winterstorm,"Groundhog Day Blizzard†
 February 1-3, 2011",,2011-02-01,2011-02-03,"A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area.",$2.00,36
winterstorm,"Central and Eastern Winter Storm†
 Mid-January 1999",,1999-01-13,1999-01-16,"Winter storm affecting the Central and Eastern states including IL, IN, OH, MI, WV, VA, MD, PA, NJ, NY, MA, CT, VT, NH and ME.",$1.3*,0
winterstorm,"Central and Eastern Winter Storm
 January 1999",,1999-01-01,1999-01-04,"South, Southeast, Midwest, Northeast affected by damaging winter storm",$1.50,25
winterstorm,"Northeast Ice Storm†
 January 1998",,1998-01-05,1998-01-09,"Intense ice storm hits Maine, New Hampshire, Vermont, and New York, with extensive forestry losses",$2.10,16
winterstorm,"Blizzard/Floods†
 January 1996",,1996-01-01,1996-01-31,"Very heavy snowstorm (1-4 feet) over Appalachians, Mid-Atlantic, and Northeast; followed by severe flooding in parts of same area due to rain and snowmelt.",$4.80,187
winterstorm,"Southeast Ice Storm†
 February 1994",,1994-02-08,1994-02-13,"Intense ice storm with extensive damage in portions of TX, OK, AR, LA, MS, AL, TN, GA, SC, NC, and VA.",$5.00,9
winterstorm,"Winter Storm, Cold Wave
 January 1994",,1994-01-17,1994-01-20,"Winter storm affects the Southeast and Northeast regions. The states impacted include CT, DE, IL, IN, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT and WV.",$1.70,70
winterstorm,"East Coast Blizzard and Severe Weather†
 March 1993",,1993-03-11,1993-03-14,"The ""Storm of the Century"" impacts the entire Eastern seaboard from Florida to Maine. This historic storm dumped 2-4 feet of snow and caused hurricane force winds across many Eastern and Northeastern states. This caused power outages to over 10 million households. Additional impacts included numerous tornadoes across Florida causing substantial damage. This is the most destructive and costly winter storm to affect the United States since at least 1980.",$9.50,270
winterstorm,"Northeast Winter Storm
 December 1992",,1992-12-10,1992-12-13,"Slow-moving winter storm batters northeast U.S. coast, with the New England region hardest hit. The states impacted include VA, MD, DE, PA, NJ, NY, CT, RI, MA and WV.",$4.40,19
winterstorm,"Winter Storm, Cold Wave
 December 1989",,1989-12-21,1989-12-26,"Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",$1.4*,100
winterstorm,"Winter Storm, Cold Wave
 January 1985",,1985-01-19,1985-01-22,"Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",$1.9*,150
winterstorm,"Midwest/Southeast/Northeast Winter Storm, Cold Wave
 January 1982",,1982-01-08,1982-01-16,"Winter storm and coldwave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",$1.7*,85